day,sensitivity
1.03896103896104,7.2340425531915
2.01298701298701,24.6808510638298
3.05194805194805,47.8723404255319
4.02597402597402,71.2765957446809
5,87.8723404255319
5.97402597402597,92.3404255319149
7.01298701298701,90.6382978723404
8.05194805194805,89.1489361702128
9.02597402597403,87.0212765957447
10,84.8936170212766
11.038961038961,81.7021276595745
11.9480519480519,78.5106382978723
12.987012987013,75.3191489361702
13.961038961039,71.063829787234
15.0649350649351,67.0212765957447
15.974025974026,62.3404255319149
17.012987012987,57.0212765957447
17.987012987013,51.4893617021277
18.961038961039,45.9574468085106
20,41.4893617021277
20.974025974026,35.9574468085106
21.9480519480519,31.4893617021277
23.0519480519481,27.2340425531915
24.025974025974,22.7659574468085
25,19.7872340425532
26.038961038961,16.5957446808511
27.012987012987,13.4042553191489
27.987012987013,11.4893617021277
29.025974025974,9.36170212765957
30,7.87234042553192
31.038961038961,6.17021276595744
32.012987012987,5.1063829787234
33.0519480519481,4.04255319148936
34.025974025974,3.40425531914893
35,2.55319148936171
